mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.3146283626556396,0.054588121399502566,0.031159400939941406,0.003294810680195179,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9410462606990602,0.7893197502637783,0.7791340401739115,0.819401369484054,0.8013373154848206,0.826047747221125,0.05904113743003918,1
6.389186811447144,0.06434730076286155,0.06441216468811035,0.005791131960831104,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9394073570089508,0.7886178516793372,0.7787987325058592,0.8195819126204801,0.8020392254355396,0.8256890158500333,0.05848322887377114,2
2.755037784576416,0.06938514171746583,0.02727518081665039,0.0034186588555524316,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9371659115520903,0.7879053419240418,0.7707199391338064,0.8142163263480188,0.8046983797024752,0.8229411797320865,0.05900979593149042,8
5.564587831497192,0.10509620710011687,0.04397358894348145,0.002557168424229594,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9354039763809079,0.7885502818760515,0.7732881641925577,0.8158257972264913,0.8059050064103589,0.8237946452172734,0.0576771259522593,6
2.7369359493255616,0.044785102055211995,0.027476119995117187,0.006562014301225841,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9121095490430202,0.7486103962402941,0.7720719632250066,0.8139015032100765,0.8124390211937469,0.8118264865824288,0.05592507436678241,14
5.402679109573365,0.049195148333780817,0.04873785972595215,0.006872172368884658,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.909683488447377,0.7486221052937443,0.7710989152993056,0.8142748461743378,0.8160660649108774,0.8119490840251284,0.05523298838399626,13
2.6284178256988526,0.05551415731319958,0.02485337257385254,0.00761854276869807,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.911406547517022,0.7503521531203812,0.7674766933856473,0.8086025458780877,0.8070851527043447,0.8089846185210966,0.05595476626196572,20
5.235465860366821,0.029539969470531297,0.04911541938781738,0.00858227615404698,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.909722859644087,0.7492402254613176,0.768271967879791,0.8100060093065314,0.8113313118754044,0.8097144748334262,0.05545988172819808,18
1.4394529342651368,0.03450332269634829,0.00946044921875,0.0010795664344762509,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9403667718719896,0.7832321249516383,0.771665755428375,0.814184530391223,0.796386048592544,0.821167046247154,0.06125498185110253,9
2.9097413539886476,0.1214310838050526,0.01879749298095703,0.003460251917170578,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9375610013689454,0.7820167460569376,0.7737769681361838,0.8145804598942926,0.7968723548545708,0.8209615060621861,0.05993249905192988,10
1.4343137741088867,0.03324980589742515,0.01082763671875,0.003386125805356726,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9353087704656382,0.7825785476265069,0.7693728006444216,0.8089240277735819,0.7988174610429196,0.8190003215106136,0.05970924767679833,12
2.833345413208008,0.05120685551822326,0.020510482788085937,0.0040948564895527005,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9340977750942367,0.7830017909432463,0.7708167628930043,0.8108408964543377,0.8004555047498374,0.8198425460269325,0.05877399608799943,11
1.436660146713257,0.02996111597459318,0.010206890106201173,0.0027309430213357344,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9098901142315853,0.7446146675603136,0.7665211275380124,0.8073408687511834,0.8063377570522579,0.8069409070266704,0.056775666835929994,22
2.837256097793579,0.029897954218134914,0.022719287872314455,0.002696950754860012,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9082589747892876,0.7435811234701242,0.7665718884170065,0.80838033407414,0.8108554626208676,0.8075295566742853,0.05643604140029124,21
1.437072229385376,0.03206927533117745,0.010305976867675782,0.0022427413771018206,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9104900735382165,0.745909310980178,0.7658075127223883,0.8037125124567546,0.8020585070973744,0.8055955833589824,0.0568585131883065,24
2.8503336906433105,0.02111113688170392,0.016942262649536133,0.0009375654490287023,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9081247821045489,0.744836031606475,0.7663474163827009,0.8044825868652313,0.8070923129818971,0.8061766259881706,0.056118034968530614,23
2.6585395336151123,0.05392133358531165,0.02387552261352539,0.0037575234292860585,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9374556855983909,0.788859502437123,0.7752457176689751,0.8200738313179565,0.7993532146317545,0.8241975903308398,0.05849224021867309,5
