mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.2380550861358643,0.05447667130552059,0.02885432243347168,0.0010556540754457148,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9410462606990602,0.7893197502637783,0.7791340401739115,0.819401369484054,0.8013373154848206,0.826047747221125,0.05904113743003918,1
6.624721050262451,0.12333382570432576,0.062275934219360354,0.004140099083711343,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9394073570089508,0.7886178516793372,0.7787987325058592,0.8195819126204801,0.8020392254355396,0.8256890158500333,0.05848322887377114,2
2.9736785888671875,0.01846105560406444,0.02443222999572754,0.0035050990245375354,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9371659115520903,0.7879053419240418,0.7707199391338064,0.8142163263480188,0.8046983797024752,0.8229411797320865,0.05900979593149042,8
5.778419494628906,0.16993852374508286,0.05115838050842285,0.008052512174743832,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9354039763809079,0.7885502818760515,0.7732881641925577,0.8158257972264913,0.8059050064103589,0.8237946452172734,0.0576771259522593,6
2.932993984222412,0.07494864363809982,0.02894892692565918,0.004779595965487107,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9121095490430202,0.7486103962402941,0.7720719632250066,0.8139015032100765,0.8124390211937469,0.8118264865824288,0.05592507436678241,14
5.555282783508301,0.06445197910875637,0.04987039566040039,0.00714700936931943,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.909683488447377,0.7486221052937443,0.7710989152993056,0.8142748461743378,0.8160660649108774,0.8119490840251284,0.05523298838399626,13
2.6333168506622315,0.03064025305750385,0.025114107131958007,0.0036397315606884395,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.911406547517022,0.7503521531203812,0.7674766933856473,0.8086025458780877,0.8070851527043447,0.8089846185210966,0.05595476626196572,20
5.221438455581665,0.0689939051412011,0.04886064529418945,0.006758124430253199,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.909722859644087,0.7492402254613176,0.768271967879791,0.8100060093065314,0.8113313118754044,0.8097144748334262,0.05545988172819808,18
1.4637304306030274,0.043443630292074736,0.008811664581298829,0.0003077919920206314,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9403667718719896,0.7832321249516383,0.771665755428375,0.814184530391223,0.796386048592544,0.821167046247154,0.06125498185110253,9
2.913800573348999,0.04544772131735484,0.02174515724182129,0.004992220158823108,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9375610013689454,0.7820167460569376,0.7737769681361838,0.8145804598942926,0.7968723548545708,0.8209615060621861,0.05993249905192988,10
1.4356867790222168,0.0343091503686754,0.012572813034057616,0.004447160604704077,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9353087704656382,0.7825785476265069,0.7693728006444216,0.8089240277735819,0.7988174610429196,0.8190003215106136,0.05970924767679833,12
2.8903831481933593,0.06773443356537706,0.01740541458129883,0.0028313252202841624,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9340977750942367,0.7830017909432463,0.7708167628930043,0.8108408964543377,0.8004555047498374,0.8198425460269325,0.05877399608799943,11
1.4372411251068116,0.03076295457264087,0.009818506240844727,0.00220990891362348,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9098901142315853,0.7446146675603136,0.7665211275380124,0.8073408687511834,0.8063377570522579,0.8069409070266704,0.056775666835929994,22
2.873652982711792,0.0354680933699999,0.02058253288269043,0.004825555631628379,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9082589747892876,0.7435811234701242,0.7665718884170065,0.80838033407414,0.8108554626208676,0.8075295566742853,0.05643604140029124,21
1.4453965663909911,0.049338373037506315,0.011193656921386718,0.0032539431354163006,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9104900735382165,0.745909310980178,0.7658075127223883,0.8037125124567546,0.8020585070973744,0.8055955833589824,0.0568585131883065,24
2.981163263320923,0.038746499825157224,0.017600393295288085,0.0021262936718326737,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9081247821045489,0.744836031606475,0.7663474163827009,0.8044825868652313,0.8070923129818971,0.8061766259881706,0.056118034968530614,23
2.735758638381958,0.08114437469383003,0.030370807647705077,0.0049033159705598305,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9374556855983909,0.788859502437123,0.7752457176689751,0.8200738313179565,0.7993532146317545,0.8241975903308398,0.05849224021867309,5
